Date,Time,Time Zone,Network,Local,Cover %,Program Aired,CreativeID,CreativeName,CreativeLength,Air Type,Spend
11/30/2019, 8:42 PM,Eastern ,BETJ ,     ,0,BET JAMS MIXTAPE              ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/30/2019, 9:29 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/30/2019,11:26 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
12/1/2019,12:28 AM,Eastern ,BETJ ,     ,0,DIRTY SOUTH SUNDAY            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
12/1/2019, 1:10 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
12/1/2019, 2:41 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
12/1/2019, 9:21 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
12/1/2019,10:21 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
12/1/2019,10:50 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
12/1/2019,11:41 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/25/2019,11:18 AM,Eastern ,BETS ,     ,0,TBD                           ,RRFL15PRH    ,TRR_15_TVC_FALL_PRAGMATIST                                  ,15,Cable                         ,4.25
11/25/2019,11:49 AM,Eastern ,BETS ,     ,0,TBD                           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019,12:20 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFL15PRH    ,TRR_15_TVC_FALL_PRAGMATIST                                  ,15,Cable                         ,4.25
11/25/2019,12:51 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019, 1:18 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFL15PRH    ,TRR_15_TVC_FALL_PRAGMATIST                                  ,15,Cable                         ,4.25
11/25/2019, 2:17 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019, 2:48 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFL15PRH    ,TRR_15_TVC_FALL_PRAGMATIST                                  ,15,Cable                         ,4.25
11/25/2019, 4:21 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/25/2019, 4:53 PM,Eastern ,BETS ,     ,0,TBD                           ,RRFL15PRH    ,TRR_15_TVC_FALL_PRAGMATIST                                  ,15,Cable                         ,6.8
