user_id,device,date_time,user_type,event_name,event_value,ip_address,device_id
1682090,App,2020-01-20 22:08:45,repeat,Purchase,0,e81e04c8035c4826906d254d0724074f1b4f840f,098f16f37a61c2bc3526c0c5f82e8098687f10e8
3790842,App,2020-01-20 11:43:24,repeat,Purchase,0,eb4da8199e1f0967a1804e84434ca236495e7bf0,20491b47a39d7532a4991a4b2046ae474aa1487a
15575893,App,2020-01-20 14:54:27,repeat,Purchase,0,528ddfdf3091f25e4d0b69012d3f9b4087f674ab,9513e7f4aff87e2c63b22db056259dc1959ee52f
6067551,App,2020-01-20 23:59:29,repeat,Purchase,0,47485837cdb70cc4ced49702f635e6e948b4581e,e635a645c30838c697859b3cd5071a72e4eac8fd
4091501,App,2020-01-20 15:52:15,repeat,Purchase,0,133a7dd25a347930c36d6770f43aec25e914fc5c,60186c6364073333a4d0ac73b12e716469b2470f
15228119,App,2020-01-20 21:27:07,new,Purchase,0,3e6ad408307f0b014003d8c16c336ceec33f7683,e5cdf2f5ad3a1c41d6952e673f2ccdcbf2bcbd12
14068673,App,2020-01-20 08:05:28,repeat,Purchase,0,ce1024b0b28e671a196fcbb1e8f8cce7a34962a6,d3724ba8352a00baf6034462648785ce109fa253
4274716,App,2020-01-20 20:55:06,repeat,Purchase,0,f99bea5522e6708d13e22117c2a6bb25f210c518,56af8f2c2568850ca21832408c08343ab327fb10
268428,App,2020-01-20 17:03:51,repeat,Purchase,0,904aeef832ad6283d59fae0289d9adf981077a48,e5aa8fdb1676bdabf3af544cffb9231ac964fbc2
4098222,App,2020-01-20 20:13:22,repeat,Purchase,0,28f1961b677b1c301dbb4a0d51badb3180d44ae7,29c85cb46c44ea1d85486f6b1d313f07f890cd43
2899146,App,2020-01-20 17:41:21,repeat,Purchase,0,8ba75ac76a942b7c03eb5f7699d88e514d645804,81dd6e940351077eb5fa295d339f6e34ff3d4bdf
