TRR_Market_Code,TRR_Market_Name,Alphonso_DMA_Code,Alphonso_Market_Name
3860,Harlingen-Wslco-Brownsville-Mc,636,Harlingen-Wslco-Brnsvl-McA
1840,Cedar Rapids-Waterloo-Dubuque,637,Cedar Rapids-Wtrlo-IWC&Dub
3910,Memphis,640,Memphis
5140,San Antonio,641,San Antonio
1070,"Alexandria, LA",644,"Alexandria, LA"
3010,Greenwood-Greenville,647,Greenwood-Greenville
5520,Champaign & Springfield-Decatu,648,Champaign&Sprngfld-Decatur
2590,Evansville,649,Evansville
4490,Oklahoma City,650,Oklahoma City
3750,Lubbock,651,Lubbock
4510,Omaha,652,Omaha
4580,Panama City,656,Panama City
2950,Green Bay-Appleton,658,Green Bay-Appleton
4240,Nashville,659,Nashville
5130,San Angelo,661,San Angelo
1010,Abilene-Sweetwater,662,Abilene-Sweetwater
3810,Madison,669,Madison
2850,Ft. Smith,670,Ft. Smith-Fay-Sprngdl-Rgrs
5810,Tulsa,671,Tulsa
2140,"Columbus, GA",673,Columbus-Tupelo-W Pnt-Hstn
2400,Duluth-Superior,676,Duluth-Superior
6030,Wichita-Hutchinson,678,Wichita-Hutchinson Plus
2340,Des Moines,679,Des Moines-Ames
2270,Davenport-Rock Island-Moline-Q,682,Davenport-R.Island-Moline
4090,Mobile-Pensacola,686,Mobile-Pensacola (Ft Walt)
4050,Minot-Bismarck-Dickinson-Glend,687,Minot-Bsmrck-Dcknsn(Wlstn)
3210,Huntsville-Decatur-Florence,691,Huntsville-Decatur (Flor)
6190,"Beaumont-Port Arthur, TX",692,Beaumont-Port Arthur
3620,Little Rock,693,Little Rock-Pine Bluff
4190,Montgomery-Selma,698,Montgomery-Selma
3420,La Crosse-Eau Claire,702,La Crosse-Eau Claire
5990,Wausau-Rhinelander,705,Wausau-Rhinelander
3940,Meridian,711,Meridian
1470,Baton Rouge,716,Baton Rouge
3250,"Jackson, MS",718,"Jackson, MS"
3600,Lincoln-Hastings-Kearney,722,Lincoln & Hastings-Krny
2630,Fargo,724,Fargo-Valley City
5450,Sioux Falls-Mitchell,725,Sioux Falls(Mitchell)
1100,Anchorage,743,Anchorage
3130,Honolulu,744,Honolulu
1570,Biloxi-Gulfport-Pascagoula,746,Biloxi-Gulfport
2310,Denver,751,Denver
2070,Colorado Springs-Pueblo,752,Colorado Springs-Pueblo
4660,Phoenix,753,Phoenix (Prescott)
1790,Butte-Bozeman,754,Butte-Bozeman
2940,Great Falls,755,Great Falls
1560,Billings-Hardin,756,Billings
1690,Boise,757,Boise
3230,Idaho Falls-Pocatello,758,Idaho Falls-Pocatllo(Jcksn)
4060,Missoula,762,Missoula
4850,Rapid City,764,Rapid City
2460,El Paso,765,El Paso (Las Cruces)
1830,Casper-Riverton,767,Casper-Riverton
5120,Salt Lake City,770,Salt Lake City
2910,Grand Junction-Durango,773,Grand Junction-Montrose
5790,Tucson,789,Tucson (Sierra Vista)
1050,Albuquerque,790,Albuquerque-Santa Fe
1410,Bakersfield,800,Bakersfield
2550,Eugene,801,Eugene
2580,Eureka,802,Eureka
3680,Los Angeles,803,Los Angeles
4570,Palm Springs,804,Palm Springs
5230,San Francisco-Oakland-San Jose,807,San Francisco-Oak-San Jose
6120,Yakima-Pasco-Richland-Kennewic,810,Yakima-Pasco-Rchlnd-Knnwck
4880,Reno,811,Reno
3890,Medford,813,Medford-Klamath Falls
5400,Seattle-Tacoma,819,Seattle-Tacoma
4730,"Portland, OR",820,"Portland, OR"
1540,Bend,821,"Bend, OR"
5190,San Diego,825,San Diego
5060,Monterey-Salinas,828,Monterey-Salinas
3520,Las Vegas,839,Las Vegas
5310,Santa Barbara-Santa Maria-San,855,SantaBarbra-SanMar-SanLuOb
5010,Sacramento-Stockton,862,Sacramnto-Stkton-Modesto
2780,Fresno-Visalia,866,Fresno-Visalia
2000,Chico-Redding,868,Chico-Redding
5480,Spokane,881,Spokane
3490,Lansing,551,Lansing
2920,Grand Rapids-Kalamazoo-Battle,563,Grand Rapids-Kalmzoo-B.Crk
2420,Yuma-El Centro,771,Yuma-El Centro
4130,Monroe-El Dorado,628,Monroe-El Dorado
3300,"Jackson, TN",639,"Jackson, TN"
5720,Topeka,605,Topeka
5870,Victoria,626,Victoria
3500,Laredo,749,Laredo
5840,Tyler-Longview-Jacksonville,709,Tyler-Longview(Lfkn&Ncgd)
2930,"Great Bend, KS",821,"Bend, OR"
5850,Utica,526,Utica
1720,Bowling Green,736,Bowling Green
3350,Joplin-Pittsburg,603,Joplin-Pittsburg
3540,Hattiesburg-Laurel,710,Hattiesburg-Laurel
4620,Peoria-Bloomington,675,Peoria-Bloomington
4980,"Rochester, NY",538,"Rochester, NY"
2170,"Columbus-Tupelo, MS",673,Columbus-Tupelo-W Pnt-Hstn
3460,Lake Charles,643,Lake Charles
1930,Cheyenne-Scottsbluff,759,Cheyenne-Scottsbluff
3440,"Lafayette, LA",642,"Lafayette, LA"
4440,North Platte,740,North Platte
3310,Jacksonville,561,Jacksonville
1520,Bluefield-Beckley-Oak Hill,559,Bluefield-Beckley-Oak Hill
2190,Corpus Christi,600,Corpus Christi
3830,Mankato,737,Mankato
1160,Sherman-Ada,657,Sherman-Ada
2100,"Columbia-Jefferson City, MO",604,Columbia-Jefferson City
5510,"Springfield, MO",619,"Springfield, MO"
1910,Charlottesville,584,Charlottesville
4590,Parkersburg,597,Parkersburg
6020,Wheeling-Steubenville,554,Wheeling-Steubenville
6210,Fairbanks,745,Fairbanks
3340,Jonesboro,734,Jonesboro
4530,Ottumwa-Kirksville,631,Ottumwa-Kirksville
5540,St. Joseph,638,St. Joseph
4820,Quincy-Hannibal,717,Quincy-Hannibal-Keokuk
5970,Watertown-Carthage,549,Watertown
4770,Presque Isle,552,Presque Isle
5500,"Springfield, MA",619,"Springfield, MO"
